Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - São Paulo
HipertensãoDiabetes Tipo 1Diabetes Tipo 2Hiper c/ Diabete por Macrorreg de Saúde/Município
Período:Jan/2002-Abr/2013
"Macrorreg de Saúde/Município";"Hipertensão";"Diabetes_Tipo_1";"Diabetes_Tipo_2";"Hiper_c/_Diabete"
".....  PENAPOLIS";4590;127;327;1692
".....  PLANALTO";396;7;30;115
".....  PIACATU";1168;14;22;167
".....  BREJO ALEGRE";235;2;9;37
".....  AURIFLAMA";880;9;34;349
".....  BARBOSA";527;5;20;171
".....  AMERICO DE CAMPOS";388;14;8;162
".....  POLONI";54;-;1;14
".....  VITORIA BRASIL";96;2;7;28
".....  URUPES";1940;31;83;402
".....  JALES";3906;53;367;1365
".....  IPIGUA";618;10;37;185
".....  GUARANI D'OESTE";333;5;16;63
".....  TABAPUA";998;4;19;310
".....  IRAPUA";95;9;-;39
".....  GUZOLANDIA";205;8;6;67
".....  SAO JOAO DAS DUAS PONTES";315;3;39;52
".....  SAO JOAO DE IRACEMA";298;4;17;57
".....  IBIRA";1027;7;40;300
".....  GLICERIO";349;10;11;61
".....  SAO JOSE DO RIO PRETO";29376;466;2140;10566
".....  GASTAO VIDIGAL";268;2;10;44
".....  GENERAL SALGADO";-;2;-;-
".....  FERNANDO PRESTES";341;1;13;99
".....  ARACATUBA";6461;64;225;1579
".....  MACAUBAL";681;10;30;211
".....  LUIZIANIA";380;8;5;148
".....  VOTUPORANGA";4582;132;327;1932
"3532 RRAS11";24032;376;1123;7832
".....  EUCLIDES DA CUNHA PAULISTA";31;1;-;13
".....  SANDOVALINA";86;1;5;9
".....  EMILIANOPOLIS";287;1;2;45
".....  REGENTE FEIJO";2157;27;154;529
".....  PANORAMA";1113;41;32;476
".....  NOVA GUATAPORANGA";21;1;-;4
".....  MONTE CASTELO";290;1;19;89
".....  PRESIDENTE EPITACIO";1273;15;50;466
".....  CAIUA";402;7;5;93
".....  PRESIDENTE PRUDENTE";1265;14;36;438
".....  PIRAPOZINHO";2615;76;195;743
".....  TARABAI";208;1;28;59
".....  INDIANA";422;5;8;122
".....  ANHUMAS";156;4;9;45
".....  MARTINOPOLIS";1392;33;58;561
".....  TUPI PAULISTA";2155;19;119;581
".....  IRAPURU";288;10;13;147
